Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,63.290000915527344,64.04000091552734,63.27000045776367,63.97999954223633,51.36656951904297,42863900
2010-01-05,63.880001068115234,64.18000030517578,63.4900016784668,63.7599983215332,51.18992614746094,55523100
2010-01-06,63.7599983215332,64.0999984741211,63.540000915527344,63.70000076293945,51.141754150390625,59708600
2010-01-07,63.7400016784668,64.22000122070312,63.13999938964844,64.16999816894531,51.51910400390625,56123500
2010-01-08,63.939998626708984,64.5199966430664,63.79999923706055,64.5199966430664,51.80008316040039,48811500
2010-01-11,64.77999877929688,64.87999725341797,64.01000213623047,64.26000213623047,51.59137725830078,51638900
2010-01-12,63.86000061035156,64.16000366210938,63.2599983215332,63.560001373291016,51.02935028076172,45854900
2010-01-13,63.779998779296875,64.51000213623047,63.22999954223633,64.37999725341797,51.68769836425781,39501900
2010-01-14,64.13999938964844,64.81999969482422,64.0199966430664,64.62000274658203,51.88040542602539,41859800
2010-01-15,64.6500015258789,64.80000305175781,63.27000045776367,63.68000030517578,51.125709533691406,68725100
2010-01-19,63.91999816894531,64.87000274658203,63.91999816894531,64.8499984741211,52.06504440307617,46839000
2010-01-20,64.38999938964844,64.4000015258789,63.189998626708984,63.90999984741211,51.310359954833984,62485000
2010-01-21,63.959999084472656,64.4800033569336,62.63999938964844,62.86000061035156,50.467369079589844,98323100
2010-01-22,62.7599983215332,63.060001373291016,61.18000030517578,61.72999954223633,49.560142517089844,83757000
2010-01-25,62.08000183105469,62.150001525878906,61.33000183105469,61.79999923706055,49.6163444519043,62298700
2010-01-26,61.56999969482422,62.029998779296875,61.13999938964844,61.189998626708984,49.12660217285156,58213200
2010-01-27,60.91999816894531,61.939998626708984,60.709999084472656,61.84000015258789,49.64845657348633,72565800
2010-01-28,61.959999084472656,61.9900016784668,60.220001220703125,60.779998779296875,48.79743194580078,93814200
2010-01-29,61.029998779296875,61.689998626708984,59.970001220703125,60.11000061035156,48.259525299072266,79325600
2010-02-01,60.38999938964844,60.939998626708984,60.15999984741211,60.81999969482422,48.82954788208008,60731800
2010-02-02,60.93000030517578,61.560001373291016,60.619998931884766,61.4900016784668,49.36746597290039,71047700
2010-02-03,61.20000076293945,61.630001068115234,60.59000015258789,61.08000183105469,49.038291931152344,50241000
2010-02-04,60.65999984741211,60.68000030517578,58.9900016784668,59.040000915527344,47.400482177734375,99167300
2010-02-05,59.16999816894531,59.33000183105469,58.0,59.27000045776367,47.585113525390625,106752200
2010-02-08,59.08000183105469,59.599998474121094,58.619998931884766,58.68000030517578,47.1114387512207,61579200
2010-02-09,59.380001068115234,59.93000030517578,58.75,59.4900016784668,47.761756896972656,91986700
2010-02-10,59.310001373291016,59.779998779296875,58.689998626708984,59.630001068115234,47.87416458129883,55715500
2010-02-11,59.459999084472656,60.619998931884766,59.0,60.58000183105469,48.63687515258789,51969700
2010-02-12,60.0,61.099998474121094,59.810001373291016,61.02000045776367,48.99011993408203,65909800
2010-02-16,61.65999984741211,62.11000061035156,61.08000183105469,62.04999923706055,49.817054748535156,50057600
2010-02-17,62.36000061035156,62.61000061035156,61.9900016784668,62.470001220703125,50.15427780151367,50459400
2010-02-18,62.470001220703125,63.0,62.25,62.97999954223633,50.563697814941406,43072800
2010-02-19,62.7400016784668,63.380001068115234,62.61000061035156,63.060001373291016,50.62793731689453,56840800
2010-02-22,63.41999816894531,63.45000076293945,63.02000045776367,63.25,50.78046798706055,45344900
2010-02-23,63.15999984741211,63.25,62.33000183105469,62.5099983215332,50.186363220214844,58965400
2010-02-24,62.7400016784668,63.349998474121094,62.54999923706055,63.040000915527344,50.611873626708984,50476000
2010-02-25,62.18000030517578,63.119998931884766,61.97999954223633,63.060001373291016,50.62793731689453,51949700
2010-02-26,63.15999984741211,63.209999084472656,62.459999084472656,62.79999923706055,50.419185638427734,60093900
2010-03-01,63.2599983215332,64.31999969482422,63.2599983215332,64.26000213623047,51.59137725830078,70967800
2010-03-02,64.5,65.1500015258789,64.4000015258789,64.75,51.984779357910156,55605300
2010-03-03,65.06999969482422,65.48999786376953,64.77999877929688,65.12000274658203,52.28181838989258,56207500
2010-03-04,65.13999938964844,65.37000274658203,64.87000274658203,65.29000091552734,52.41830825805664,47174200
2010-03-05,65.70999908447266,66.72000122070312,65.5,66.62000274658203,53.486114501953125,52293900
2010-03-08,66.63999938964844,66.93000030517578,66.5199966430664,66.73999786376953,53.58243942260742,46046400
2010-03-09,66.55000305175781,67.48999786376953,66.52999877929688,66.9800033569336,53.77513885498047,70685800
2010-03-10,67.04000091552734,67.9000015258789,67.01000213623047,67.55000305175781,54.232765197753906,73655200
2010-03-11,67.13999938964844,67.86000061035156,66.9000015258789,67.75,54.39332962036133,59964100
2010-03-12,68.0999984741211,68.12999725341797,67.26000213623047,67.72000122070312,54.3692512512207,61862000
2010-03-15,67.68000030517578,67.80999755859375,67.0,67.48999786376953,54.184608459472656,49862700
2010-03-16,67.83000183105469,68.0999984741211,67.33999633789062,68.06999969482422,54.65023422241211,52874400
2010-03-17,68.22000122070312,68.87999725341797,68.19999694824219,68.47000122070312,54.97138214111328,53589100
2010-03-18,68.44000244140625,68.77999877929688,68.13999938964844,68.26000213623047,54.80277633666992,71527500
2010-03-19,67.41000366210938,68.51000213623047,67.16000366210938,67.41000366210938,54.120357513427734,80546500
2010-03-22,66.93000030517578,68.51000213623047,66.77999877929688,68.36000061035156,54.883060455322266,56679400
2010-03-23,68.41999816894531,69.25,68.11000061035156,69.2300033569336,55.581546783447266,61187700
2010-03-24,68.68000030517578,68.97000122070312,68.25,68.2699966430664,54.94731521606445,59664500
2010-03-25,68.87000274658203,69.36000061035156,67.79000091552734,67.83999633789062,54.60123062133789,66977000
