Date,Open,High,Low,Close,Adj Close,Volume,adjusted_log_return,dxy_Open,dxy_High,dxy_Low,dxy_Close,dxy_Adj_Close,dxy_Volume,tnx_Open,tnx_High,tnx_Low,tnx_Close,tnx_Adj_Close,tnx_Volume,vix_Open,vix_High,vix_Low,vix_Close,vix_Adj_Close,vix_Volume,price_log_return,ohlc_ratio,pct_change,sma_10,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,rsi_14,stoch_k,stoch_d,roc_10,williams_r,atr_14,bb_lower,bb_upper,bb_width,hist_vol_20,lag_return_1,lag_return_2,lag_return_5,lag_return_10,lag_return_20,day_of_week_sin,day_of_week_cos,month_sin,month_cos
2010-10-11,63.2599983215332,63.310001373291016,63.040000915527344,63.29999923706055,40.156494140625,6172100.0,0.0011067430134755,77.05999755859375,77.55999755859375,76.93000030517578,77.44000244140625,77.44000244140625,0.0,2.4130001068115234,2.430999994277954,2.3340001106262207,2.38100004196167,2.38100004196167,0.0,19.32999992370605,19.51000022888184,18.799999237060547,18.959999084472656,18.959999084472656,0.0,0.0011067430134755318,0.004268107254624537,0.0011073556795249129,62.587999725341795,62.11749992370605,60.137199859619145,61.86414991378784,62.529916760212174,61.63052378919863,0.8993929710135475,0.85320531730313,73.4453571348538,88.63636757716523,90.7850193004837,2.047397199349196,-9.090940617321841,0.6396336997266913,60.62010789251894,63.61489195489316,4.821160004914035,0.08743576750957108,0.00015749960657657382,0.00015857085741531244,-0.0012964848955799063,-0.0017715719565015219,0.005652553769389587,0.0,1.0,-1.0,-1.8369701987210297e-16
2010-10-12,63.130001068115234,63.43999862670898,62.970001220703125,63.290000915527344,40.150150299072266,8707400.0,-0.0001579904529741,77.52999877929688,77.93000030517578,77.25,77.36000061035156,77.36000061035156,0.0,2.3550000190734863,2.421999931335449,2.352999925613404,2.421999931335449,2.421999931335449,0.0,20.0,20.100000381469727,18.549999237060547,18.93000030517578,18.93000030517578,0.0,-0.00015799045297414208,0.007444913639376312,-0.0001579779731397668,62.67399978637695,62.25299987792968,60.215999908447266,61.860949916839594,62.64685278410681,61.75344802077853,0.8934047633282844,0.8612452065081609,73.24592124263478,89.69696864608926,89.73918521889604,1.3775438189133948,-9.54540962031638,0.6275168216037742,60.854201732861384,63.65179802299798,4.493914021207542,0.08758982608974404,0.0011067430134755318,0.00015749960657657382,0.01815769001097738,0.0064276956323987815,0.004301282988509178,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2010-10-13,63.43000030517578,63.790000915527344,63.290000915527344,63.58000183105469,40.33412170410156,10104700.0,0.004571619295612,77.33999633789062,77.3499984741211,76.97000122070312,77.06999969482422,77.06999969482422,0.0,2.4560000896453857,2.490000009536743,2.4260001182556152,2.430999994277954,2.430999994277954,0.0,17.920000076293945,19.15999984741211,17.899999618530273,19.06999969482422,19.06999969482422,0.0,0.004571619295612013,0.007882705306548781,0.004582085089568144,62.80099983215332,62.379500007629396,60.292799911499024,61.856599941253656,62.790414175944946,61.8887483030212,0.9016658729237434,0.8693293397912776,75.33776107120069,90.97665242525943,89.76999621617131,2.038196805927296,-8.433692486583455,0.6184084772035047,60.98117769135132,63.77782232390747,4.483275166062738,0.08563684371415924,-0.00015799045297414208,0.0011067430134755318,0.006507446736524744,-0.0019240997645950564,0.007728004026910687,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
2010-10-14,63.790000915527344,63.79999923706055,63.38999938964844,63.7400016784668,40.43561935424805,8632700.0,0.0025132605909631,77.0199966430664,77.02999877929688,76.26000213623047,76.6500015258789,76.6500015258789,0.0,2.443000078201294,2.509000062942505,2.421999931335449,2.494999885559082,2.494999885559082,0.0,19.59000015258789,21.020000457763672,19.39999961853028,19.8799991607666,19.8799991607666,0.0,0.0025132605909631944,0.0064273372241371125,0.0025164214778516936,62.97900009155274,62.50200004577636,60.372399978637695,61.85534994125366,62.93650456094831,62.02587818268384,0.9106263782644675,0.8775887474859156,76.4326114461771,93.20699851645006,91.29353986259957,2.872825403963271,-2.3999023437500044,0.6035221465041193,61.076552266548916,63.92744782500381,4.561286929005317,0.08536923235386228,0.004571619295612013,-0.00015799045297414208,0.00015857085741531244,-0.005632913733155231,0.003923500026486949,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
2010-10-15,63.97999954223633,64.0,63.13999938964844,63.56999969482422,40.32777786254883,13265100.0,-0.0026705552145684,76.63999938964844,77.12999725341797,76.13999938964844,77.04000091552734,77.04000091552734,0.0,2.470000028610229,2.594000101089477,2.4539999961853027,2.575999975204468,2.575999975204468,0.0,20.200000762939453,21.59000015258789,19.020000457763672,19.030000686645508,19.030000686645508,0.0,-0.002670555214568466,0.013441710167313053,-0.0026669924542132017,63.16100006103516,62.602000045776364,60.44459999084473,61.85214994430542,63.03396535077537,62.1402575539535,0.8937077968218716,0.8808125573531068,72.73772506428732,91.08015748037579,91.75460280736175,2.94736792684084,-15.925932728539161,0.6218420367789367,61.17124536012873,64.03275473142399,4.570955191851451,0.08630224913728388,0.0025132605909631944,0.004571619295612013,0.00015749960657657382,-0.0033952364513984675,0.004558044994895713,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
2010-10-18,63.68999862670898,63.97999954223633,63.25,63.86000061035156,40.51175308227539,10814100.0,0.0045516230784189,77.02999877929688,77.63999938964844,76.91999816894531,76.93000030517578,76.93000030517578,0.0,2.5309998989105225,2.5339999198913574,2.48799991607666,2.490999937057495,2.490999937057495,0.0,20.43000030517578,20.709999084472656,18.8799991607666,19.09000015258789,19.09000015258789,0.0,0.00455162307841899,0.011461760998220468,0.004561997448845556,63.380000305175784,62.69050006866455,60.52080001831056,61.85034994125367,63.16104769840248,62.2676459285015,0.8934017699009758,0.8833303998626807,74.96135859348549,92.16300127110364,92.15005242264316,3.551163461050746,-5.185161114399916,0.6295675728830361,61.17654348451962,64.20445665280948,4.829939408639918,0.08329684345761164,-0.002670555214568466,0.0025132605909631944,0.0011067430134755318,-0.0012964848955799063,0.00841069723235737,0.0,1.0,-1.0,-1.8369701987210297e-16
2010-10-19,62.88999938964844,63.66999816894531,62.5,63.290000915527344,40.150150299072266,17235400.0,-0.0089659477504257,77.12000274658203,78.30999755859375,76.91999816894531,78.18000030517578,78.18000030517578,0.0,2.5339999198913574,2.561000108718872,2.4570000171661377,2.4749999046325684,2.4749999046325684,0.0,20.700000762939453,21.350000381469727,19.32999992370605,20.6299991607666,20.6299991607666,0.0,-0.008965947750425718,0.018603882657023712,-0.00892587349821039,63.42900047302247,62.758000183105466,60.59800003051759,61.84399995803833,63.180886654883224,62.34337592754045,0.8375107273427744,0.8741664653586995,63.92487015225433,84.19755039990731,89.14690305046224,0.7802574592670205,-26.29625495733898,0.6817413612736452,61.26469370694832,64.25130665926261,4.7589358226846254,0.09023618691674697,0.00455162307841899,-0.002670555214568466,-0.00015799045297414208,0.01815769001097738,-0.0024193540247830036,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16
2010-10-20,63.31999969482422,64.02999877929688,63.060001373291016,63.59999847412109,40.34681701660156,10206800.0,0.0048863234328239,78.25,78.36000061035156,77.05999755859375,77.16999816894531,77.16999816894531,0.0,2.486000061035156,2.5179998874664307,2.4539999961853027,2.470000028610229,2.470000028610229,0.0,21.200000762939453,21.200000762939453,19.670000076293945,19.790000915527344,19.790000915527344,0.0,0.00488632343282391,0.015318973636778886,0.004898280979382497,63.468000411987305,62.83950004577637,60.70000000000001,61.837149944305416,63.245365396304436,62.43645907913901,0.8089063171654232,0.8611144357200442,66.7887028045834,84.25588478588163,86.87214548563085,0.6169900257825388,-15.75092957061619,0.7023310787545176,61.34935668949715,64.32964340205558,4.742696409722225,0.09119979139662739,-0.008965947750425718,0.00455162307841899,0.004571619295612013,0.006507446736524744,0.0004846109902758412,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
2010-10-21,63.86000061035156,64.22000122070312,63.52000045776367,63.9900016784668,40.59421157836914,11111700.0,0.0061129772244888,77.1500015258789,77.61000061035156,76.83999633789062,77.41999816894531,77.41999816894531,0.0,2.483999967575073,2.5429999828338623,2.483999967575073,2.5309998989105225,2.5309998989105225,0.0,19.700000762939453,20.530000686645508,18.93000030517578,19.270000457763672,19.270000457763672,0.0,0.0061129772244888315,0.010961490075933143,0.00613169960013904,63.54500045776368,62.948500061035155,60.80940002441407,61.83159996032715,63.35992482432941,62.55153630871885,0.8083885156105595,0.8505692516981473,70.01388679177037,83.35870805699524,83.93738108092806,1.2179696977157193,-7.876691301059102,0.7021646276248702,61.456509463534395,64.44049065853591,4.740353133288688,0.0915132314179998,0.00488632343282391,-0.008965947750425718,0.0025132605909631944,0.00015857085741531244,-0.0025853318444936367,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16
2010-10-22,64.08000183105469,64.12000274658203,63.63999938964844,63.810001373291016,40.48003387451172,6774800.0,-0.0028166226821858,77.4800033569336,77.75,77.20999908447266,77.47000122070312,77.47000122070312,0.0,2.569000005722046,2.586999893188477,2.546999931335449,2.562999963760376,2.562999963760376,0.0,19.36000061035156,19.36000061035156,18.76000022888184,18.780000686645508,18.780000686645508,0.0,-0.002816622682185865,0.007490688876681223,-0.0028126597221131977,63.60300064086915,63.03200016021729,60.92260002136231,61.82784997940063,63.429167370323505,62.64475594313161,0.7844114271918983,0.8373376867968976,66.79007034707428,85.94012472365029,84.51823918884239,0.9172890008756972,-18.552004957373835,0.6862959654326362,61.54360741539325,64.52039290504132,4.722657510600265,0.09183765042817577,0.0061129772244888315,0.00488632343282391,-0.002670555214568466,0.00015749960657657382,0.005324840162694409,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16
